f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,label
-222.33399963378906,90.03136444091797,-75.36164855957031,-10.128813743591309,-27.634572982788086,-7.755584716796875,-11.433992385864258,-8.719983100891113,1.3732990026474,-0.37691763043403625,-15.163832664489746,-1.7145144939422607,-17.73898696899414,-2.6924171447753906,-9.94649600982666,-6.40221643447876,-9.27638053894043,-1.0683056116104126,-4.953018665313721,-5.268319129943848,-12.281830787658691,-5.79854679107666,-8.767892837524414,-0.2855680584907532,0.24194397032260895,7.180699348449707,-0.25615930557250977,-0.8116323351860046,-6.266545295715332,2.0345730781555176,-2.397952079772949,-0.8765436410903931,-6.280531883239746,-3.641923189163208,-2.896282434463501,1.264237642288208,-5.401475429534912,-0.38825348019599915,-4.71568489074707,0.36781981587409973,45.16091537475586,31.12276268005371,29.141504287719727,15.054319381713867,14.801469802856445,9.855544090270996,9.482145309448242,18.50095558166504,10.007335662841797,8.183747291564941,8.9061861038208,8.335052490234375,8.379411697387695,6.696562767028809,6.130885601043701,6.9259257316589355,5.698334693908691,7.631893157958984,6.687543869018555,7.852283000946045,8.272770881652832,7.104666233062744,8.430990219116211,13.40395736694336,19.583066940307617,14.088212013244629,11.132834434509277,12.036704063415527,11.635126113891602,9.827431678771973,6.393942356109619,6.339598178863525,5.519309043884277,5.690511226654053,5.442527770996094,5.186956882476807,5.320348739624023,5.550404071807861,7.1473164558410645,5.914007186889648,-36.3903694152832,13.946009635925293,0.15508124168882978,0.057111820425854554,20.998005360550547,16.150094759181194,19.858553907206066,18.927156884747497,18.77830677555691,21.45618115277415,52.02843506443653,4.48839007012762,6.398023458325323,5.144546710406831,4.445964073909583,2.827605028853257,3.915940608211241,8.306320953695602,0.2936194837093353,0.18852989375591278,0.227708101272583,0.3613418936729431,0.39730948209762573,0.47927260398864746,0.5653651356697083,0.5162370800971985,0.3145312964916229,0.3816367983818054,0.4362885057926178,0.4409039616584778,0.21055568754673004,0.17653566598892212,0.2042969912290573,0.30278971791267395,0.2706069052219391,0.3370822072029114,0.3140427768230438,0.3148113787174225,0.2353251427412033,0.316332072019577,0.3051261901855469,0.30205821990966797,40.43935182741689,0.03820093348622322,0.01646205224096775,0.5906621813774109,0.0,0.0,0
-211.53866577148438,109.09574127197266,3.4653804302215576,25.638879776000977,-4.175070285797119,-0.35402122139930725,0.8124730587005615,-7.541755676269531,-1.6401320695877075,-7.726499557495117,-4.164697170257568,3.5392885208129883,-0.1781827211380005,1.2310563325881958,-5.0014777183532715,6.308204174041748,-1.5396090745925903,-1.75299072265625,0.5574773550033569,3.9046647548675537,-3.5192649364471436,0.7244228720664978,-8.570298194885254,-2.0969369411468506,-3.1329667568206787,2.4972474575042725,-3.3387720584869385,5.042924404144287,1.1415503025054932,3.910008430480957,-1.9947607517242432,0.5521496534347534,-4.775153160095215,1.2308248281478882,-3.349947690963745,0.05522201582789421,-5.0132856369018555,2.0228710174560547,-1.032637119293213,2.689932107925415,88.62499237060547,62.78657150268555,35.66975784301758,34.00472640991211,25.196096420288086,14.33200740814209,15.477280616760254,16.88116455078125,13.064252853393555,12.70781135559082,10.967382431030273,10.429694175720215,7.263852596282959,7.719513893127441,7.4340128898620605,7.601083278656006,7.54330587387085,6.7356181144714355,6.761207580566406,6.973313331604004,6.910680770874023,6.117673873901367,6.928654670715332,6.135393142700195,5.318192958831787,5.146700859069824,6.8888092041015625,8.681346893310547,10.365386962890625,9.04668140411377,7.414022445678711,8.82787036895752,8.53998851776123,4.855869770050049,6.362354755401611,6.224043369293213,7.517210960388184,6.335293292999268,5.89780330657959,6.221471309661865,-43.338375091552734,15.828202247619629,0.1510295462101064,0.11922024058293605,20.467254996928016,15.988471008023364,19.730940341695014,17.331390935935563,17.703469185776257,20.740099476968872,50.79286703145863,4.624658415280993,5.260586325814806,5.232847021590336,4.389723264070884,2.9416850321457555,5.161040054395619,8.018546289641478,0.23210620880126953,0.23495590686798096,0.30911752581596375,0.4110942482948303,0.45301395654678345,0.41672131419181824,0.36005380749702454,0.3740118741989136,0.4000353217124939,0.4881817400455475,0.49576500058174133,0.32444602251052856,0.23009386658668518,0.26569247245788574,0.3041636645793915,0.34643426537513733,0.3438294529914856,0.3301776051521301,0.2837388217449188,0.3340708911418915,0.31903767585754395,0.3349856734275818,0.32468897104263306,0.254656046628952,37.99797258326704,0.0730995312333107,0.03850012272596359,0.4639689326286316,0.0,0.0,0
-288.7088317871094,79.08039093017578,-26.69522476196289,15.531803131103516,-11.53066349029541,-11.53309440612793,-15.508814811706543,-3.1992411613464355,-7.429915904998779,-3.4506404399871826,-10.490966796875,-7.709508895874023,-10.947112083435059,-6.4893927574157715,-13.848751068115234,-5.887551784515381,-10.334704399108887,-7.20258092880249,-7.8844499588012695,-4.588512420654297,-7.102504730224609,-3.4483771324157715,-6.812595367431641,-1.3409878015518188,-4.938101291656494,1.032949447631836,-1.529158353805542,0.8044930100440979,-2.067246437072754,1.6109427213668823,1.698548674583435,4.946778774261475,0.6799890398979187,1.2073423862457275,-4.581389904022217,-2.042949676513672,-5.103079795837402,1.154212236404419,-1.8389891386032104,1.8296024799346924,68.871826171875,22.087072372436523,27.353055953979492,14.467575073242188,9.644723892211914,12.951571464538574,8.339373588562012,11.161258697509766,7.40166711807251,7.546895503997803,5.891570091247559,6.361240863800049,5.504999160766602,5.476686000823975,4.096948623657227,5.332751274108887,5.004062652587891,5.5868144035339355,4.815521717071533,6.190279483795166,9.214284896850586,9.607246398925781,6.677608489990234,6.053393363952637,7.516574382781982,9.360270500183105,8.451035499572754,8.924660682678223,8.148661613464355,7.9458112716674805,8.89512825012207,8.703768730163574,8.230060577392578,6.313835620880127,5.31261682510376,4.703837871551514,4.3613080978393555,4.749738693237305,4.66294527053833,4.632777690887451,-39.24501037597656,11.8025541305542,0.13104118184840424,0.04560756340390764,20.05453177129316,17.017076679391916,18.836133256679435,15.950857080396123,16.692031476958395,16.85727159812818,51.48158908659883,3.463950138438542,5.395333824536374,5.087477572678085,3.3110361709491842,2.5550319773530425,2.4587379455834437,7.9043389304912335,0.2768665552139282,0.2920439541339874,0.41427162289619446,0.44969919323921204,0.28972992300987244,0.28952276706695557,0.3150237798690796,0.45392492413520813,0.4472391605377197,0.37744879722595215,0.43174657225608826,0.40285050868988037,0.25469622015953064,0.28623491525650024,0.3489053547382355,0.38221248984336853,0.2584017217159271,0.26554417610168457,0.2805747389793396,0.3500058352947235,0.30943915247917175,0.265560507774353,0.31951096653938293,0.3090808093547821,35.51235143192684,0.01831756718456745,0.013074131682515144,0.5934076905250549,0.0,0.0,0
-177.05226135253906,171.14337158203125,-43.34136962890625,35.18475341796875,-21.246105194091797,-1.270393967628479,-24.05874252319336,-15.55161190032959,-5.616876602172852,2.8309032917022705,3.079549551010132,-4.853231430053711,1.9871991872787476,-6.287362098693848,3.8401122093200684,-6.325504302978516,-2.587131977081299,-6.052725791931152,-7.177994728088379,0.2646160423755646,-7.925369739532471,-4.701468467712402,-5.543928623199463,-1.9024605751037598,-3.5321474075317383,-0.5050907731056213,-2.093261957168579,0.3206612765789032,1.142863392829895,-1.8919098377227783,0.5309560298919678,-1.3175626993179321,1.9332634210586548,-0.10486316680908203,1.125590443611145,0.23185010254383087,-1.273342490196228,-2.5105156898498535,-3.9827351570129395,-1.2910487651824951,60.22114562988281,25.67768096923828,24.416894912719727,15.676614761352539,16.03412437438965,13.747166633605957,12.276482582092285,12.816377639770508,11.367963790893555,9.000819206237793,8.165064811706543,10.586755752563477,7.96207332611084,6.439081192016602,8.829092025756836,8.2221040725708,6.184375762939453,5.765505790710449,5.461187839508057,6.697762966156006,5.2121195793151855,4.308863162994385,5.925232410430908,4.6519036293029785,5.028781890869141,6.437431335449219,4.762572765350342,4.521346092224121,4.498147964477539,4.5992584228515625,2.9823546409606934,3.4728403091430664,3.5544676780700684,4.403103351593018,3.8827083110809326,4.1255879402160645,4.625903606414795,3.752772092819214,3.6105470657348633,3.336473226547241,-45.98394775390625,18.13184928894043,0.08778673537234043,0.04097645427368085,18.60348663613966,13.70631626623696,18.006467325942378,16.17789396799844,17.957742304703103,36.25122556030025,35.529650449865954,4.611450759800392,3.912490930992263,5.159089605327059,2.5589857164519665,2.2708661807323454,7.28878125934965,7.469587901777103,0.4907873570919037,0.51455157995224,0.41190123558044434,0.3067031502723694,0.37241119146347046,0.38289034366607666,0.42560186982154846,0.3518437445163727,0.40692269802093506,0.5005927681922913,0.44004908204078674,0.38315433263778687,0.3098471164703369,0.3247036933898926,0.3248078227043152,0.24588970839977264,0.30176255106925964,0.26839014887809753,0.3361053764820099,0.23560085892677307,0.27677106857299805,0.3212526738643646,0.30740147829055786,0.2808507978916168,113.41151352833008,0.1055055484175682,0.07099071145057678,0.4714023172855377,0.0,0.0,0
-424.97760009765625,113.36473846435547,-44.77730178833008,1.2202149629592896,-23.3375301361084,-4.845484256744385,-4.611158847808838,0.3642730712890625,-2.4211158752441406,13.861971855163574,-1.539238452911377,0.5720497965812683,-7.122884750366211,-5.360662937164307,-5.985898971557617,-2.8629090785980225,-5.741364002227783,-1.8743518590927124,-8.26579475402832,-4.739001750946045,-5.599643707275391,-2.2913191318511963,-1.2396599054336548,4.366878509521484,3.998061180114746,2.8638949394226074,-0.4485102593898773,1.4551339149475098,-1.044546127319336,0.3761107325553894,-0.15510372817516327,0.9755862355232239,0.7307509779930115,4.588750839233398,0.7048059105873108,0.2125089168548584,-1.4024096727371216,1.0925065279006958,-1.2220951318740845,-1.990797996520996,61.40345001220703,28.857149124145508,14.68483829498291,10.935721397399902,6.599634170532227,7.047486782073975,11.29451847076416,8.108158111572266,11.020438194274902,9.521021842956543,6.4550065994262695,7.2466230392456055,5.731383800506592,8.361357688903809,4.851508617401123,5.345895767211914,5.068994998931885,6.115157604217529,11.963075637817383,6.258047103881836,6.6624555587768555,6.1149797439575195,9.163475036621094,11.646687507629395,9.270149230957031,7.7440009117126465,8.059146881103516,8.158855438232422,9.061166763305664,8.17300796508789,7.759581565856934,5.465798854827881,4.97690486907959,3.6429498195648193,5.019285678863525,4.224279403686523,4.1720290184021,4.658563137054443,5.553287506103516,4.954757213592529,-47.01967239379883,13.663005828857422,0.11962890625,0.023461079741524542,17.709117269449962,14.360037058677387,18.137832924695655,18.221489578629196,17.99991697619173,18.81703683303773,53.08301117633975,4.993734584703218,5.351828546800781,4.473252132480188,3.1990060892887886,2.9558839823691203,2.1104827880677406,6.982756239973558,0.3643118143081665,0.5186459422111511,0.2869519293308258,0.2693600058555603,0.32218775153160095,0.4287870228290558,0.46003127098083496,0.4772328734397888,0.41100969910621643,0.2621040344238281,0.3261408805847168,0.22714568674564362,0.23035791516304016,0.38789498805999756,0.2046821415424347,0.22834405303001404,0.24359075725078583,0.3379906713962555,0.31264349818229675,0.2903415560722351,0.291381299495697,0.2341868281364441,0.3376699388027191,0.18659712374210358,26.24265070792418,0.005417933687567711,0.00574966287240386,0.5926864743232727,0.0,0.0,0
-307.24615478515625,67.76132202148438,-36.57399368286133,-12.730899810791016,-6.316575527191162,-6.571737766265869,-25.65664291381836,-11.718997955322266,-12.73381233215332,-2.4771711826324463,-8.926865577697754,-8.001628875732422,-9.98392391204834,-3.132768392562866,-14.185840606689453,-5.040632724761963,-7.207088947296143,-2.3979151248931885,-7.747077941894531,-2.8190767765045166,-9.398272514343262,-1.6920291185379028,-5.488994121551514,0.2582431435585022,-4.891127586364746,-1.3756332397460938,-4.609926223754883,-3.2905073165893555,-1.2277055978775024,1.2590649127960205,-1.619602918624878,0.4639376401901245,-4.0697021484375,1.2671749591827393,-1.0318318605422974,1.9974238872528076,-1.56709885597229,0.9653462171554565,0.3855507969856262,5.181554794311523,86.07028198242188,24.64681053161621,24.26520538330078,11.380340576171875,14.42911148071289,7.073546886444092,10.75706672668457,8.772294044494629,7.478660583496094,14.958219528198242,8.623037338256836,9.511847496032715,5.489363670349121,6.433022975921631,6.059954643249512,5.86269474029541,4.91097354888916,4.525122165679932,4.618569374084473,6.321877479553223,5.194372177124023,5.259970664978027,4.770345211029053,4.054213047027588,5.211337566375732,3.677959680557251,4.384883880615234,4.94651985168457,4.220824241638184,5.582411289215088,7.105360507965088,8.47568416595459,8.42329216003418,6.454104423522949,8.100079536437988,5.4518537521362305,7.2404608726501465,6.690049171447754,8.006572723388672,8.375686645507812,-45.461143493652344,12.414901733398438,0.17950049867021275,0.08694770649188063,21.723822034286176,14.996966169940972,17.085841952857415,16.40508283755645,18.34336548573339,16.683629499705457,52.6859985031805,6.013336790426253,5.390301092910367,5.717566322383321,3.6309525634216584,2.2582811652318022,1.7766311082040482,7.183594627014356,0.4245345890522003,0.4016406834125519,0.5290544629096985,0.5901705622673035,0.462399959564209,0.5027952194213867,0.5820766091346741,0.5768593549728394,0.47314438223838806,0.43828752636909485,0.39506837725639343,0.39676204323768616,0.3172287046909332,0.26168501377105713,0.2959896922111511,0.32086262106895447,0.26363131403923035,0.26028043031692505,0.2733868360519409,0.34769687056541443,0.3286755681037903,0.3164629638195038,0.26187193393707275,0.28174635767936707,20.53937643943149,0.0178629532456398,0.018710682168602943,0.6030192971229553,0.0,0.0,0
-358.00927734375,53.69169235229492,-0.9512591361999512,9.708707809448242,-21.644941329956055,-10.521966934204102,-19.71958351135254,-16.122385025024414,-8.443365097045898,-6.1184587478637695,-7.419166088104248,-7.658553123474121,-12.044656753540039,-3.600991725921631,-19.10251808166504,-7.494992733001709,-13.071856498718262,-10.325745582580566,-11.252902030944824,-5.724867820739746,-11.99699592590332,-3.3410520553588867,-8.40821361541748,-2.399073600769043,-3.4167020320892334,-3.9877371788024902,-7.2030510902404785,-1.8198860883712769,-3.3146567344665527,2.799168348312378,-0.4915717542171478,5.451362133026123,0.06274214386940002,4.843439102172852,1.2299555540084839,3.10149884223938,-1.0962296724319458,0.44967517256736755,-4.391689777374268,1.5412286520004272,110.81151580810547,31.728023529052734,37.443572998046875,22.086030960083008,20.906696319580078,18.19632339477539,12.820151329040527,14.487585067749023,11.320088386535645,8.378588676452637,7.964208602905273,8.649700164794922,10.161924362182617,7.855557441711426,8.976999282836914,6.495102405548096,5.38463830947876,6.296590328216553,5.954594612121582,5.3136091232299805,6.639527797698975,5.733154296875,6.425004482269287,5.990324020385742,6.221500396728516,6.799798011779785,8.655595779418945,6.162467956542969,10.571395874023438,13.179048538208008,12.293890953063965,13.248517990112305,13.338836669921875,13.821195602416992,11.418638229370117,12.713753700256348,8.455646514892578,5.257840633392334,7.340084552764893,5.580302715301514,-51.43911361694336,14.250724792480469,0.19881358045212766,0.1545804310221185,26.04417606967928,16.209296775640365,19.08088062378199,17.429473375752274,17.787558342362786,19.610883920431075,53.15412396760978,6.032534596757337,5.438091488660008,5.3546368583246,4.2770845874918235,3.9196745146846728,4.0634417491018295,6.862503020859837,0.401422381401062,0.43226873874664307,0.42850396037101746,0.37738779187202454,0.29761794209480286,0.398395299911499,0.45697152614593506,0.41210705041885376,0.39339035749435425,0.34302568435668945,0.32256537675857544,0.3254927694797516,0.3471284508705139,0.2936161756515503,0.34076356887817383,0.32126107811927795,0.2622445523738861,0.33590084314346313,0.29532748460769653,0.3234274387359619,0.33538055419921875,0.304439902305603,0.28705257177352905,0.30992552638053894,13.399313233982298,0.018051031976938248,0.024893175810575485,0.37831124663352966,0.0,0.0,0
-271.7539978027344,44.67760467529297,-21.183856964111328,5.387569904327393,-17.498111724853516,-15.967909812927246,-17.566862106323242,-2.887448787689209,-16.59957504272461,-2.2237398624420166,-17.268617630004883,-4.061697959899902,-5.670072078704834,-2.1468193531036377,-3.494058847427368,-3.6499102115631104,-10.095215797424316,-4.990927219390869,-12.257111549377441,-1.9629912376403809,-7.170486927032471,-2.552783489227295,-7.977712631225586,1.9769089221954346,-3.9341397285461426,3.9515984058380127,0.44346651434898376,7.817431926727295,0.7229402661323547,1.8870817422866821,-3.139012098312378,-1.1575151681900024,-0.4021378457546234,7.857306957244873,9.948273658752441,10.924089431762695,-0.3675103783607483,-0.027413180097937584,-6.377359390258789,0.5801912546157837,99.87692260742188,37.456092834472656,25.069570541381836,17.645782470703125,18.31418800354004,13.502606391906738,13.543471336364746,9.048012733459473,10.414511680603027,9.681052207946777,9.07050895690918,7.67277717590332,9.098886489868164,8.413459777832031,9.753751754760742,7.300060749053955,7.12283992767334,8.82774829864502,8.25847339630127,7.913854598999023,6.494907379150391,5.834050178527832,5.813480377197266,6.154766082763672,8.3862886428833,12.01334285736084,12.22250747680664,10.93695068359375,9.708433151245117,7.743159294128418,7.21363639831543,8.025033950805664,8.847929000854492,13.013275146484375,14.68899154663086,13.7125825881958,7.851559162139893,5.50918436050415,6.765270233154297,5.318856716156006,-44.69929122924805,13.115731239318848,0.21297373670212766,0.11962913180260469,21.63573498302645,18.905064405239795,20.0855048950909,20.417018630120218,19.041572887474455,17.3731083137469,53.95412469050333,6.198014611962588,5.5350828605371065,5.68120073048498,5.101553049809207,4.171201137150643,2.80395792779065,6.67038812513859,0.43834632635116577,0.27170005440711975,0.22048355638980865,0.24701544642448425,0.2682815194129944,0.38604220747947693,0.3903634548187256,0.3146708905696869,0.3314613699913025,0.48679202795028687,0.4307754337787628,0.3524027168750763,0.3246890902519226,0.20438846945762634,0.20758262276649475,0.2711499333381653,0.23732227087020874,0.28705668449401855,0.31358054280281067,0.2967667579650879,0.29137784242630005,0.3607248067855835,0.35689666867256165,0.275211900472641,32.792867458116106,0.030880846083164215,0.024693045765161514,0.6069684624671936,0.0,0.0,0
-219.56846618652344,105.90733337402344,-52.05121612548828,-19.431852340698242,-17.806943893432617,-17.59099006652832,-8.384995460510254,-5.879034996032715,1.0817954540252686,-9.739317893981934,-10.270488739013672,-5.33939266204834,-7.792792797088623,-5.833740711212158,-9.750880241394043,-7.720311164855957,-6.378909587860107,-5.398275852203369,-6.282832145690918,-2.5753157138824463,-10.474534034729004,-3.1129982471466064,-10.322361946105957,-6.4104132652282715,-7.2841362953186035,-3.195930004119873,-5.895575523376465,-5.913902282714844,-8.838623046875,-1.8705499172210693,-8.031380653381348,-2.049093723297119,-1.9373868703842163,2.9830715656280518,5.212430000305176,6.575644016265869,-2.0296356678009033,2.330437660217285,-2.295994281768799,1.2528016567230225,72.19189453125,47.67851257324219,52.87541580200195,25.604610443115234,21.313011169433594,13.871809005737305,15.154669761657715,26.855634689331055,15.504450798034668,15.473393440246582,7.554401397705078,7.401984214782715,7.44866943359375,6.437860488891602,6.847475051879883,7.478119373321533,6.812121868133545,6.619443416595459,8.67699909210205,5.2021965980529785,7.061456680297852,6.1350626945495605,5.1256818771362305,4.742552280426025,5.298637390136719,5.798858165740967,7.77630615234375,4.49365758895874,6.668904781341553,4.191205978393555,6.855835437774658,6.22900390625,9.998023986816406,16.394519805908203,18.683887481689453,17.561824798583984,12.510650634765625,9.21545696258545,8.7586669921875,10.190788269042969,-50.958683013916016,16.026803970336914,0.16775577626329788,0.1380534971749223,25.96593910599524,15.809829409676736,19.944329341184083,19.34850597541539,19.8012998017281,21.385003850486424,51.5083698496131,8.835164226919785,6.895343365082041,5.285096351821496,5.067844920383653,4.000406156897675,4.332969043627605,8.795290843021181,0.3697717487812042,0.3845505118370056,0.25869080424308777,0.30168482661247253,0.3646572530269623,0.4340663254261017,0.5494694113731384,0.4827381372451782,0.44707873463630676,0.37521347403526306,0.45639464259147644,0.45253628492355347,0.2688751220703125,0.31612807512283325,0.22972822189331055,0.2750683128833771,0.31516754627227783,0.29215240478515625,0.32597750425338745,0.3232443630695343,0.31225594878196716,0.25784385204315186,0.28934165835380554,0.3235671818256378,28.42453506866262,0.07644662261009216,0.06716712564229965,0.563326358795166,0.0,0.0,1
-215.15090942382812,102.7947006225586,-59.0671272277832,-15.870918273925781,-17.318246841430664,-25.874488830566406,-8.812154769897461,-1.5891122817993164,-4.152379989624023,-11.162623405456543,-5.9149885177612305,-8.528498649597168,-16.074527740478516,-8.914840698242188,-17.225418090820312,-4.1228156089782715,-6.984847545623779,-5.221038341522217,-5.820737361907959,-6.629807949066162,-8.818373680114746,-0.7679082751274109,-8.113338470458984,4.0074615478515625,4.272688388824463,11.24029541015625,2.9320740699768066,-1.2185546159744263,-1.53939688205719,2.716840982437134,-1.7481560707092285,3.149953603744507,-3.8291232585906982,-3.4392342567443848,1.4667624235153198,3.5441501140594482,-4.362194538116455,-0.3774840533733368,-0.8082964420318604,2.300940752029419,62.187408447265625,39.982154846191406,42.64360046386719,24.864391326904297,17.364688873291016,13.155559539794922,11.902438163757324,22.584720611572266,8.63550090789795,15.754755973815918,6.822765827178955,7.735929489135742,9.659626960754395,5.819960594177246,10.636392593383789,5.117973327636719,5.87214994430542,8.209432601928711,5.738031387329102,7.708226203918457,5.981925964355469,4.927568435668945,8.553842544555664,19.35820770263672,22.044082641601562,18.593585968017578,12.908549308776855,13.924044609069824,12.990554809570312,11.435702323913574,7.864105224609375,6.940408706665039,6.939964294433594,5.901123046875,6.258152008056641,6.735742092132568,6.3294806480407715,6.667038917541504,7.186214447021484,4.851110935211182,-50.255516052246094,15.421290397644043,0.14693629488031915,0.11790543428328343,22.37631902985761,17.6328021325854,20.740767841307676,19.912275613325523,20.201866253789607,20.94678370469178,51.69573135248869,5.506504470702646,7.515265733197505,6.020155436909665,4.450606182406517,3.3421144231136384,4.308351296337098,8.28022383588871,0.30850666761398315,0.188701793551445,0.20415782928466797,0.297981321811676,0.35276761651039124,0.426859050989151,0.4766540825366974,0.47973117232322693,0.3369055986404419,0.38748306035995483,0.42637714743614197,0.4357259273529053,0.21514175832271576,0.16805674135684967,0.20828591287136078,0.266163170337677,0.2936180531978607,0.32557597756385803,0.30219826102256775,0.3341026306152344,0.2865087389945984,0.3393690288066864,0.3094728887081146,0.3046794831752777,32.75961189153527,0.08684730529785156,0.07780706882476807,0.6571558117866516,0.0,0.0,1
